"State Exports by NAICS Commodities"
"Current date: 10/21/2020 3:05 PM (Eastern Daylight Time)"
"State","Country","Time","Total Exports Value ($US)",
"All States","World Total","2015","1,503,328,349,746"
"All States","World Total","2016","1,451,459,683,815"
"All States","World Total","2017","1,547,195,402,680"
"All States","World Total","2018","1,665,688,483,906"
"All States","World Total","2019","1,643,160,852,937"
"All States","Afghanistan","2015","478,711,524"
"All States","Afghanistan","2016","913,874,351"
"All States","Afghanistan","2017","942,232,031"
"All States","Afghanistan","2018","1,227,404,432"
"All States","Afghanistan","2019","757,741,975"
"All States","Albania","2015","30,897,665"
"All States","Albania","2016","50,293,415"
"All States","Albania","2017","62,086,958"
"All States","Albania","2018","59,200,123"
"All States","Albania","2019","86,258,582"
"All States","Algeria","2015","1,875,732,769"
"All States","Algeria","2016","2,191,261,625"
"All States","Algeria","2017","1,062,352,093"
"All States","Algeria","2018","1,261,034,413"
"All States","Algeria","2019","999,881,833"
"All States","Andorra","2015","3,336,817"
"All States","Andorra","2016","2,830,268"
"All States","Andorra","2017","3,285,167"
"All States","Andorra","2018","3,065,762"
"All States","Andorra","2019","3,350,386"
"All States","Angola","2015","1,166,094,807"
"All States","Angola","2016","1,249,758,184"
"All States","Angola","2017","809,493,487"
"All States","Angola","2018","524,980,492"
"All States","Angola","2019","534,724,998"
"All States","Anguilla","2015","47,602,633"
"All States","Anguilla","2016","42,896,633"
"All States","Anguilla","2017","59,398,299"
"All States","Anguilla","2018","115,705,453"
"All States","Anguilla","2019","73,620,562"
"All States","Antigua and Barbuda","2015","677,669,756"
"All States","Antigua and Barbuda","2016","261,504,955"
"All States","Antigua and Barbuda","2017","425,602,025"
"All States","Antigua and Barbuda","2018","520,498,371"
"All States","Antigua and Barbuda","2019","478,115,029"
"All States","Argentina","2015","9,361,856,868"
"All States","Argentina","2016","8,526,705,609"
"All States","Argentina","2017","9,603,661,068"
"All States","Argentina","2018","9,907,685,801"
"All States","Argentina","2019","8,151,480,362"
"All States","Armenia","2015","50,246,170"
"All States","Armenia","2016","43,578,116"
"All States","Armenia","2017","54,991,338"
"All States","Armenia","2018","45,738,855"
"All States","Armenia","2019","52,903,054"
"All States","Aruba","2015","1,167,593,143"
"All States","Aruba","2016","801,043,271"
"All States","Aruba","2017","975,070,938"
"All States","Aruba","2018","614,232,261"
"All States","Aruba","2019","526,107,707"
"All States","Australia","2015","25,032,402,498"
"All States","Australia","2016","22,144,768,326"
"All States","Australia","2017","24,519,261,608"
"All States","Australia","2018","25,333,619,445"
"All States","Australia","2019","25,990,091,579"
"All States","Austria","2015","4,024,271,450"
"All States","Austria","2016","3,795,691,941"
"All States","Austria","2017","4,274,565,289"
"All States","Austria","2018","3,563,918,947"
"All States","Austria","2019","5,708,849,219"
"All States","Azerbaijan","2015","478,052,857"
"All States","Azerbaijan","2016","433,527,164"
"All States","Azerbaijan","2017","354,544,887"
"All States","Azerbaijan","2018","313,936,001"
"All States","Azerbaijan","2019","374,403,703"
"All States","Bahamas","2015","2,386,947,221"
"All States","Bahamas","2016","2,096,789,767"
"All States","Bahamas","2017","3,063,604,479"
